"ENTITY_CD","SCHOOL_NAME","NUM_PRINC","NUM_TEACH","NUM_COUNSELORS","NUM_SOCIAL"
"061601040003","PANAMA K-6 SCHOOL",1,27,0,0
"061700010001","CARLYLE C RING ELEMENTARY SCHOOL",1,42,1,0
"061700010003","CLINTON V BUSH ELEMENTARY SCHOOL",1,29,1,0
"061700010006","PERSELL MIDDLE SCHOOL",1,48,2,0
"061700010007","MILTON J FLETCHER ELEMENTARY SCHOOL",1,44,1,0
"061700010009","SAMUEL G LOVE ELEMENTARY SCHOOL",1,38,1,0
"061700010010","THOMAS JEFFERSON MIDDLE SCHOOL",1,45,3,0
"061700010011","ABRAHAM LINCOLN ELEMENTARY SCHOOL",1,35,1,0
"061700010012","GEORGE WASHINGTON MIDDLE SCHOOL",1,52,2,0
"061700010013","JAMESTOWN HIGH SCHOOL",1,106,6,0
"062201060001","FREDONIA ELEMENTARY SCHOOL",1,51,1,0
"062201060002","FREDONIA MIDDLE SCHOOL",1,51,1,0
"062201060003","FREDONIA HIGH SCHOOL",1,55,2,0
"062301040002","BROCTON ELEMENTARY SCHOOL",1,27,0,0
"062301040003","BROCTON MIDDLE HIGH SCHOOL",1,31,0,0
"062401040001","RIPLEY CENTRAL SCHOOL",1,14,0,1
"062601040002","SHERMAN ELEMENTARY SCHOOL",1,27,0,0
"062601040003","SHERMAN HIGH SCHOOL",1,25,1,0
"062901040001","WESTFIELD ELEMENTARY SCHOOL",1,34,0,0
"062901040002","WESTFIELD HIGH SCHOOL",1,30,0,0
"062901040004","WESTFIELD MIDDLE SCHOOL",1,30,0,0
"070600010006","DIVEN SCHOOL",2,23,0,0
"070600010007","FASSETT ELEMENTARY SCHOOL",1,22,0,0
"070600010010","HENDY AVENUE SCHOOL",1,27,1,0
"070600010013","PARLEY COBURN SCHOOL",1,31,1,0
"070600010014","PINE CITY SCHOOL",1,19,0,1
"070600010015","RIVERSIDE SCHOOL",1,22,0,0
"070600010016","THOMAS K BEECHER SCHOOL",3,25,1,0
"070600010019","BROADWAY ACADEMY",1,30,3,0
"070600010020","ELMIRA HIGH SCHOOL",1,70,5,0
"070600010021","ERNIE DAVIS ACADEMY",1,71,4,1
"070600010022","BROADWAY ELEMENTARY SCHOOL",1,28,1,1
"070600861078","FINN ACADEMY-AN ELMIRA CHARTER SCHOO",1,25,0,0
"070901060003","CENTER STREET SCHOOL",1,25,0,1
"070901060004","RIDGE ROAD SCHOOL",1,25,0,1
"070901060005","BIG FLATS SCHOOL",1,25,0,0
"070901060007","HORSEHEADS SENIOR HIGH SCHOOL",1,89,0,2
"070901060009","GARDNER ROAD ELEMENTARY SCHOOL",1,31,0,0
"070901060010","HORSEHEADS MIDDLE SCHOOL",1,55,0,1
"070901060011","HORSEHEADS INTERMEDIATE SCHOOL",1,45,0,1
"070902060002","THOMAS A EDISON HIGH SCHOOL",1,26,1,0
"070902060004","COHEN MIDDLE SCHOOL",1,27,0,0
"070902060006","COHEN ELEMENTARY SCHOOL",1,36,0,0
"080101040002","AFTON ELEMENTARY SCHOOL",1,34,1,0
"080101040003","AFTON JUNIOR/SENIOR HIGH SCHOOL",1,34,4,0
"080201040001","BAINBRIDGE-GUILFORD HIGH SCHOOL",1,33,2,1
"080201040002","GREENLAWN ELEMENTARY SCHOOL",1,25,1,1
"080201040003","GUILFORD ELEMENTARY SCHOOL",1,12,1,0
"080601040001","GREENE PRIMARY SCHOOL",1,20,0,0
"080601040002","GREENE INTERMEDIATE SCHOOL",1,20,0,0
"080601040003","GREENE HIGH SCHOOL",1,29,3,0
"080601040004","GREENE MIDDLE SCHOOL",1,26,1,0
"081003040003","UNADILLA VALLEY SECONDARY SCHOOL",1,44,2,0
"081003040006","UNADILLA VALLEY ELEMENTARY SCHOOL",1,30,1,0
"081200050001","PERRY BROWNE INTERMEDIATE SCHOOL",1,24,2,0
"081200050002","STANFORD J GIBSON PRIMARY SCHOOL",1,31,2,0
"081200050003","NORWICH MIDDLE SCHOOL",1,49,2,1
"081200050004","NORWICH HIGH SCHOOL",1,48,3,1
"081401040001","OTSELIC VALLEY CENTRAL SCHOOL",1,30,0,0
"081501040001","OXFORD ACADEMY MIDDLE SCHOOL",1,29,0,0
"081501040002","OXFORD ACADEMY HIGH SCHOOL",1,26,0,0
"081501040003","OXFORD ACADEMY PRIMARY SCHOOL",1,29,0,0
"082001040002","SHERBURNE-EARLVILLE ELEMENTARY SCHOOL",1,45,1,1
"082001040003","SHERBURNE-EARLVILLE MIDDLE SCHOOL",1,30,2,0
