"","ENTITY_CD","NUM_TEACH","PER_TEACH_INEXP","NUM_PRINC","PER_PRINC_INEXP"
"573","131601060010",31,3,1,0
"574","131601060011",33,6,1,0
"575","131601060012",93,9,1,0
"576","131601060013",36,0,2,50
"577","131601060014",56,7,1,0
"578","131601060015",90,1,1,0
"579","131602020000",148,9,4,0
"580","131602020001",33,3,1,0
"581","131602020003",30,17,1,0
"582","131602020004",46,9,1,0
"583","131602020005",55,11,1,0
"584","131701060000",162,7,5,20
"585","131701060002",61,7,2,50
"586","131701060004",41,2,1,0
"587","131701060006",33,12,1,0
"588","131701060008",35,11,1,0
"589","131801040000",98,6,3,0
"590","131801040001",47,9,1,0
"591","131801040002",40,5,1,0
"592","131801040003",32,9,1,0
"593","132101060000",729,7,16,25
"594","132101060001",40,8,1,0
"595","132101060002",29,0,1,0
"596","132101060003",40,5,2,50
"597","132101060004",59,3,1,100
"598","132101060005",21,10,1,0
"599","132101060006",25,4,1,0
"600","132101060007",20,15,1,0
"601","132101060008",44,9,1,0
"602","132101060009",74,3,1,0
"603","132101060010",66,12,1,0
"604","132101060011",125,8,1,100
"605","132101060012",29,14,1,0
"606","132101060013",50,10,1,0
"607","132101060015",144,4,1,100
"608","132101060016",11,0,1,0
"609","132201040000",93,14,6,17
"610","132201040001",37,8,1,100
"611","132201040002",22,18,1,0
"612","132201040003",17,29,1,0
"613","132201040005",42,14,3,0
"614","140101060000",121,7,4,50
"615","140101060003",25,4,1,100
"616","140101060005",38,5,1,0
"617","140101060006",46,9,1,0
"618","140101060007",25,8,1,100
"619","140201060000",256,2,5,0
"620","140201060001",68,1,1,0
"621","140201060002",79,1,1,0
"622","140201060005",54,4,1,0
"623","140201060006",62,3,2,0
"624","140203060000",809,6,16,19
"625","140203060001",80,4,1,0
"626","140203060002",43,9,1,0
"627","140203060003",49,4,1,0
"628","140203060004",83,10,1,0
"629","140203060005",50,8,1,0
"630","140203060007",45,11,1,0
"631","140203060008",52,12,2,0
"632","140203060009",61,5,1,0
"633","140203060010",120,8,2,50
"634","140203060011",45,4,1,0
"635","140203060012",58,3,1,100
"636","140203060013",88,1,2,50
"637","140203060015",86,6,1,0
"638","141301060004",22,0,1,0
"639","141301060005",61,7,1,0
"640","141301060006",66,3,1,0
"641","141301060007",24,4,1,0
"642","141401060000",194,7,6,17
"643","141401060001",29,14,2,50
"644","141401060003",64,8,1,0
"645","141401060004",33,12,1,0
"646","141401060008",28,7,1,0
"647","141401060009",49,2,1,0
"648","141501060000",245,10,5,20
"649","141501060001",35,3,1,100
"650","141501060003",38,13,1,0
"651","141501060004",87,11,1,0
"652","141501060005",59,8,1,0
"653","141501060006",33,12,1,0
"654","141601060000",285,4,6,0
"655","141601060001",30,7,1,0
"656","141601060002",24,4,1,0
"657","141601060003",25,0,1,0
"658","141601060004",47,4,1,0
"659","141601060006",79,3,1,0
"660","141601060007",96,5,1,0
"661","141604060000",336,7,6,33
"662","141604060003",38,8,1,100
"663","141604060004",35,23,1,0
"664","141604060005",37,5,1,0
"665","141604060006",42,10,1,0
"666","141604060007",86,5,1,0
"667","141604060008",109,6,1,100
"668","141701040000",76,13,3,33
"669","141701040001",33,12,1,0
"670","141701040002",30,13,2,50
"671","141701040004",17,12,1,0
"672","141800010000",144,3,5,60
"673","141800010005",43,5,1,0
"674","141800010008",48,0,1,100
"675","141800010010",28,4,2,50
"676","141800010011",42,2,1,100
"677","141800860044",80,18,2,100
"678","141901060000",438,4,7,0
"679","141901060001",41,10,1,0
"680","141901060004",32,0,1,0
"681","141901060005",33,0,1,0
"682","141901060006",45,18,1,0
"683","141901060007",71,3,1,0
"684","141901060008",148,3,1,0
"685","141901060010",92,3,1,0
"686","142101040000",107,8,3,0
"687","142101040001",39,13,1,0
"688","142101040002",42,2,1,0
"689","142101040003",37,8,1,0
"690","142201040000",57,7,2,50
"691","142201040001",38,8,1,100
"692","142201040002",21,5,1,0
"693","142301060000",404,7,7,29
"694","142301060001",54,7,1,100
"695","142301060002",110,12,1,0
"696","142301060003",49,6,1,0
"697","142301060005",34,9,2,50
"698","142301060006",121,5,1,0
"699","142301060007",56,9,1,0
"700","142500010000",165,18,6,33
"701","142500010003",27,26,1,0
"702","142500010005",32,28,2,50
"703","142500010007",29,14,1,0
"704","142500010009",88,17,2,50
"705","142601030000",641,5,9,22
"706","140600010082",37,5,1,0
"707","140600010084",29,3,1,0
"708","140600010093",93,3,1,100
"709","140600010094",66,17,1,0
"710","140600010097",81,9,1,0
"711","140600010098",98,8,1,0
"712","140600010101",59,3,1,0
"713","140600010102",89,3,1,0
"714","140600010104",51,4,1,0
"715","140600010105",95,0,1,0
"716","140600010108",25,20,1,0
"717","140600010110",78,1,1,0
"718","140600010118",68,9,1,0
"719","140600010119",71,7,1,100
"720","140600010122",75,8,1,100
"721","140600010126",63,2,1,0
"722","140600010128",34,0,1,100
"723","140600010129",56,5,1,100
"724","140600010130",72,26,1,100
"725","140600010132",96,8,4,25
"726","140600010133",41,5,2,50
"727","140600010135",37,5,1,0
"728","140600010140",36,17,1,100
"729","140600010141",38,21,1,0
"730","140600010197",66,12,1,100
"731","140600010308",85,9,1,0
"732","140600010309",36,8,1,0
"733","140600010310",27,7,1,0
"734","140600010311",33,18,1,0
"735","140600010312",48,17,1,100
"736","140600010313",46,11,1,100
"737","140600010314",26,15,1,0
"738","140600010315",8,25,1,100
"739","140600010316",68,6,1,0
"740","140600860814",28,11,1,0
"741","140600860817",49,10,1,0
"742","140600860838",87,20,4,100
"743","140600860851",35,57,1,100
"744","140600860856",40,63,1,100
"745","140600860861",43,35,2,100
"746","140600860863",45,42,1,0
"747","140600860874",40,33,1,0
"748","140600860896",41,24,1,100
"749","140600860911",21,33,1,100
"750","140600860961",43,33,1,100
"751","140600860986",26,35,0,0
"752","140600861072",25,44,1,0
"753","140600861105",17,53,1,100
"754","140600861109",24,33,1,0
"755","140600861129",8,63,0,0
"756","140600861134",7,29,1,100
"757","140701060000",202,6,3,33
"758","140701060004",71,11,1,0
"759","140701060006",67,4,1,0
"760","140701060007",73,7,1,100
"761","140702030000",162,6,5,40
"762","140702030003",36,6,2,50
"763","140702030004",34,9,1,100
"764","140702030005",45,16,1,0
"765","140702030006",56,2,1,0
"766","140703020000",130,7,3,33
"767","140703020002",56,13,1,0
"768","140703020003",44,5,1,100
"769","140703020004",36,3,1,0
"770","140707030000",155,3,3,0
"771","140707030003",55,2,1,0
"772","140707030004",41,0,1,0
"773","140707030005",70,4,1,0
"774","140709030000",117,8,5,40
"775","140709030001",26,8,1,0
"776","140709030002",28,7,1,0
"777","140709030003",32,6,1,0
"778","140709030004",39,10,2,100
"779","140801060000",311,13,6,0
"780","140801060002",31,10,1,0
"781","140801060003",30,10,1,0
"782","140801060005",31,10,1,0
"783","140801060006",111,12,1,0
"784","140801060007",27,15,1,0
"785","140801060008",85,15,1,0
"786","141101060000",133,2,5,40
"787","141101060001",48,2,1,100
"788","141101060002",20,10,1,0
"789","141101060003",40,3,1,100
"790","141101060004",32,0,1,0
"791","141201060000",115,10,4,50
"792","141201060001",66,8,2,50
"793","141201060002",27,15,1,0
"794","141201060005",31,13,1,100
"795","141301060000",186,4,5,0
"796","141301060002",31,10,1,0
"797","141301060003",17,12,1,0
"798","142601030003",74,5,1,100
"799","142601030006",46,2,1,100
"800","142601030011",85,2,1,0
"801","142601030013",36,6,1,0
"802","142601030020",45,7,1,0
"803","142601030023",53,11,1,0
"804","142601030024",58,12,1,0
"805","142601030025",136,3,1,0
"806","142601030026",153,3,1,0
"807","142601860031",170,20,3,33
"808","142801060000",433,4,9,56
"809","142801060003",31,3,1,0
"810","142801060005",66,6,1,0
"811","142801060008",24,4,1,100
"812","142801060010",93,8,1,0
"813","142801060011",68,6,1,100
"814","142801060015",35,6,1,0
"815","142801060016",77,3,1,100
