"ENTITY_CD","PER_OUT_CERT"
"260501060008",0
"260501060009",0
"260501060010",0
"260501060011",0
"260501060012",0
"260501060013",0
"260501060015",0
"260501060016",0
"260501060019",0
"260501060020",0
"260501060023",2
"260501060024",0
"260501861002",0
"261301060006",0
"261301060007",0
"261301060008",3
"261301060009",2
"261301060010",0
"261313030000",2
"261313030001",0
"261313030002",2
"261401060000",0
"261401060001",0
"260501861020",29
"260501861067",14
"260801060000",1
"260801060003",0
"260801060005",0
"260801060006",1
"260801060009",0
"260801060011",0
"260801060012",3
"260803060000",0
"260803060001",0
"260803060002",0
"260803060003",3
"260803060004",0
"260803060005",0
"260803060007",0
"260803060009",0
"260803060011",0
"260803060012",0
"260803060014",0
"260901060000",1
"260901060001",0
"260901060002",0
"260901060004",0
"260901060005",2
"261001060000",2
"261001060001",3
"261001060002",3
"261001060003",2
"261001060005",3
"261001060006",0
"261001060007",0
"261101060000",1
"261101060001",0
"261101060002",0
"261101060004",2
"261101060005",4
"261101060006",0
"261201060000",0
"261201060003",0
"261201060004",0
"261201060005",0
"261201060006",0
"261201060008",0
"261201060009",0
"261301060000",1
"261301060001",0
"261301060002",0
"261301060004",2
"261501060003",0
"261501060004",1
"261501060006",0
"261501060008",0
"261600010000",4
"261600010002",0
"261600010003",0
"261600010004",8
"261600010005",4
"261600010007",0
"261600010008",6
"261600010009",9
"261600010010",0
"261600010012",8
"261600010015",0
"261600010016",0
"261600010017",4
"261600010019",2
"261600010020",0
"261600010022",2
"261600010023",0
"261600010025",0
"261600010028",6
"261600010029",0
"261600010033",0
"261600010034",0
"261600010035",0
"261600010039",5
"261600010042",0
"261401060002",0
"261401060004",0
"261401060005",0
"261401060006",0
"261401060008",0
"261401060009",0
"261401060010",0
"261401060011",0
"261501060000",1
"261501060002",0
"261600010043",0
"261600010044",0
"261600010045",2
"261600010046",0
"261600010050",2
"261600010052",0
"261600010053",0
"261600010054",0
"261600010057",0
"261600010058",1
"261600010061",10
"261600010066",11
"261600010067",0
"261600010068",6
"261600010069",0
"261600010073",8
"261600010074",7
"261600010089",9
"261600010095",7
"261600010097",11
"261600010101",6
"261600010102",3
"261600010103",4
"261600010105",14
"261600010106",0
"261600860705",56
"261600860811",53
"261600860826",10
"261600860877",51
"261600860906",57
"261600860910",53
"261600860985",66
"261600861049",33
"261600861069",38
"261600861071",0
"261600861102",59
"261701060000",1
"261701060002",0
"261701060004",0
"261701060005",0
"261701060006",0
"261701060012",0
"261701060013",0
"261701060014",2
"261701060015",2
"261701060016",2
"261801060000",3
"261801060002",5
"261801060003",2
"261801060004",0
"261801060005",6
"261801060006",0
"261901060000",1
"261901060002",0
"261901060003",0
"261901060004",0
"261901060006",0
"261901060007",0
"261901060009",1
"261901060010",2
"261901060011",3
"261901060013",0
"261901060014",3
"261901060015",1
"262001040000",4
"262001040003",5
"262001040004",4
"270100010000",3
"270100010003",0
"270100010006",3
"270100010009",4
"270100010010",5
"270100010018",0
"270100010019",0
"270301040000",5
"270301040002",8
"270301040003",6
"270301040004",0
"270601040000",2
"270601040001",0
"270601040002",0
"270601040003",3
"270701040000",0
"270701040001",0
"270701040003",0
"271201040000",3
"271201040001",0
"271201040004",6
"280100010000",1
"280100010001",4
"280100010003",0
"280100010004",4
"280100010005",0
"280100010007",0
"280100010008",0
"280201030000",1
"280201030001",2
"280201030002",0
"280201030003",0
"280201030004",0
"280201030007",1
"280201030008",0
"280201030009",0
"280201030010",1
"280201030011",0
"280201030016",0
"280201860934",58
"280201860947",35
"280202030000",0
"280202030003",0
"280202030004",0
"280202030005",0
"280202030006",0
"280202030007",0
"280202030008",0
"280202030009",0
"280202030010",0
"280202861142",25
"280203030000",0
"280203030001",0
"280203030002",0
"280203030003",0
"280203030006",0
"280203030008",0
"280203030009",0
"280203030010",0
"280203030011",0
"280203030012",0
"280204020000",0
"280204020003",0
"280204020004",0
"280204020005",0
"280204020006",0
"280204020007",0
"280205030000",1
"280205030001",0
"280205030002",0
"280205030005",0
"280205030006",0
"280205030009",0
"280205030010",4
"280205030011",2
"280205030013",4
"280205030015",0
"280205030016",0
"280206030000",0
"280206030003",0
"280206030004",0
"280206030005",0
"280206030006",0
"280207020000",0
"280207020002",0
"280207020003",0
"280207020004",0
"280208030000",3
"280208030002",0
"280208030003",3
"280208030004",0
"280208030005",4
"280208030009",6
"280208860024",28
"280209030000",0
"280209030001",0
"280209030002",0
"280209030003",0
"280209030004",0
"280209030005",0
"280209030006",0
"280209030007",0
"280209030009",0
"280210030000",0
"280210030001",0
"280210030004",0
"280210030005",0
"280210030007",0
"280210030010",0
"280210030012",0
"280210030013",0
"280211030000",1
"280211030002",0
"280211030003",0
"280211030004",0
"280211030005",0
"280211030007",0
"280211030008",0
"280211030009",0
"280211030010",0
"280211030011",0
"280211030016",7
"280212030000",1
"280212030001",0
"280212030002",0
"280212030005",0
"280212030006",3
"280213020000",0
"280213020001",0
"280213020002",0
"280213020003",0
"280213020004",0
"280214030000",1
"280214030001",0
"280214030002",0
"280214030003",0
"280214030006",0
"280214030007",2
"280215030000",0
"280215030002",0
"280215030004",0
"280215030005",0
"280215030007",0
"280215030008",0
"280216020000",0
"280216020001",0
"280216020002",0
"280216020003",0
"280216020004",2
"280216020006",0
"280216020007",0
"280217020000",1
"280217020001",0
"280217020003",2
"280217020004",2
"280218030000",1
"280218030001",0
"280218030002",0
"280218030003",0
"280218030004",0
"280218030005",0
"280218030006",4
"280218030007",0
"280219030000",0
"280219030001",0
"280219030002",0
"280219030004",0
"280220030000",2
"280220030001",0
"280220030002",0
"280220030003",0
"280220030004",0
"280220030005",9
"280220030006",6
"280220030007",0
"280221030000",0
"280221030001",0
"280221030002",0
"280221030003",0
"280221030004",0
"280221030005",0
"280221030006",0
"280221030008",0
"280222020000",0
"280222020001",0
"280222020002",0
"280223030000",0
"280223030001",0
"280223030002",0
"280223030004",0
"280223030005",1
"280223030006",0
"280224020000",0
"280224020001",0
"280224020003",0
"280224020004",0
"280225020000",1
"280225020001",2
"280225020002",2
"280225020003",0
"280226030000",1
"280226030002",0
"280226030003",0
"280226030004",0
"280226030006",0
"280227030000",1
"280227030002",0
"280227030003",0
"280227030004",0
"280227030005",4
"280227030006",0
"280229020000",0
"280229020001",0
"280229020002",0
"280229020003",0
"280230020000",0
"280230020001",0
"280230020002",0
"280230020003",0
"280231020000",0
"280231020001",0
"280231020003",0
"280251070000",3
"280251070001",3
"280251070002",2
"280251070003",5
"280251070004",3
"280252070000",0
"280252070002",0
"280252070003",0
"280252070004",0
"280252070005",0
"280252070006",0
"280253070000",0
"280253070002",0
"280253070004",0
"280253070005",0
"280253070006",0
"280253070007",0
"280300010000",2
"280300010002",0
"280300010003",2
"280300010004",0
"280300010005",3
"280300010006",6
"280300010008",0
"280401030000",1
"280401030001",2
"280401030002",0
"280401030003",0
"280401030005",0
"280401030006",1
"280401030007",0
"280402030000",0
"280402030001",0
"280402030002",0
"280402030003",0
"280403030000",1
"280403030004",0
"280403030006",3
"280403030007",0
"280403030008",0
"280403030009",2
"280404030000",1
"280404030002",0
"280404030004",0
"280404030005",0
"280404030006",0
"280404030007",0
"280404030008",2
"280404030009",2
"280405020000",1
"280405020001",0
"280405020002",0
"280405020003",0
"280405020004",0
"280406030000",1
"280406030002",2
"280406030003",0
"280406030004",0
"280406030005",0
"280407030000",1
"280407030006",0
"280407030007",0
"280407030008",0
"280407030009",0
"280407030010",0
"280407030012",5
"280407030013",0
"280407030014",0
"280407030015",0
"280407030016",0
"280409030000",0
"280409030001",0
"280409030002",0
"280409030004",0
"280409030007",1
"280409030008",0
"280410030000",3
"280410030002",0
"280410030003",0
"280410030004",4
"280410030006",2
"280410030007",6
"280411030000",1
"280411030001",0
"280411030002",0
"280411030003",1
"280501060000",2
"280501060001",0
"280501060002",0
"280501060003",3
"280501060004",1
"280501060005",4
"280502060000",1
"280502060001",4
"280502060002",7
"280502060003",0
"280502060004",3
"280502060006",0
"280502060007",0
"280502060010",0
"280502060011",1
"280502060012",0
"280502060014",1
"280503060000",1
"280503060001",0
"280503060002",6
"280503060003",0
"280503060004",0
"280503060005",0
"280503060006",0
"280504060000",1
"280504060001",0
"280504060004",0
"280504060006",2
"280504060010",0
"280504060012",0
"280504060014",3
"280504060015",0
"280506060000",0
"280506060002",0
"280506060003",0
"280506060005",0
"280515030000",1
"280515030001",0
"280515030002",0
"280515030003",0
"280515030005",0
"280515030006",3
"280517030000",0
"280517030001",0
"280517030002",0
"280517030004",0
"280517030005",0
"280517030006",0
"280517030008",0
"280517030010",0
"280517030011",0
"280517030013",0
"280518030000",2
"280518030001",7
"280518030002",0
"280518030003",0
"280518030006",0
"280518030009",1
"280521030000",1
"280521030002",0
"280521030003",0
"280521030004",0
"280521030006",0
"280521030008",6
"280522030000",0
"280522030001",0
"280522030002",0
"280522030004",0
"280522030006",0
"280522030008",1
"280522030009",1
"280523030000",0
"280523030001",0
"280523030003",0
"280523030004",0
"280523030006",0
"280523030007",0
"280523030010",0
"280523030011",1
"280523030012",0
"280523030014",0
"300000010000",20
"300000010777",0
"307500010000",23
"307500011035",70
"307500011079",57
"307500011094",6
"307500011138",7
"307500011169",22
"307500011226",16
"307500011401",3
"307500011721",52
"307500011751",41
"307500011811",38
"307500012010",16
"307500012012",83
"307500012017",16
"307500012168",31
"307500012176",5
"307500012186",11
"307500012188",11
"307500012352",19
"307500012469",0
"307500012596",3
"307500012721",6
"307500012723",15
"307500012754",38
"307500012811",86
"307500013004",11
"307500013036",2
