"ENTITY_CD","ENTITY_NAME","PER_SUSPENSIONS"
"081501040001","OXFORD ACADEMY MIDDLE SCHOOL",11
"081501040002","OXFORD ACADEMY HIGH SCHOOL",10
"081501040003","OXFORD ACADEMY PRIMARY SCHOOL",1
"082001040002","SHERBURNE-EARLVILLE ELEMENTARY SCHOOL",0
"082001040003","SHERBURNE-EARLVILLE MIDDLE SCHOOL",4
"082001040004","SHERBURNE-EARLVILLE SENIOR HIGH SCHOOL",5
"090201040001","KEESVILLE PRIMARY SCHOOL",0
"090201040002","AUSABLE VALLEY HIGH SCHOOL",6
"090201040004","AUSABLE FORKS ELEMENTARY SCHOOL",1
"090201040005","AUSABLE VALLEY MIDDLE SCHOOL",3
"090301060001","BEEKMANTOWN ELEMENTARY SCHOOL",0
"090301060003","CUMBERLAND HEAD ELEMENTARY SCHOOL",0
"090301060005","BEEKMANTOWN MIDDLE SCHOOL",2
"090301060006","BEEKMANTOWN HIGH SCHOOL",4
"090501040002","NORTHEASTERN CLINTON SENIOR HIGH SCHOOL",7
"090501040003","ROUSES POINT ELEMENTARY SCHOOL",0
"090501040006","MOOERS ELEMENTARY SCHOOL",1
"090501040007","NORTHEASTERN CLINTON MIDDLE SCHOOL",4
"090601020001","CHAZY CENTRAL RURAL ELEMENTARY SCHOOL",1
"090601020002","CHAZY CENTRAL RURAL JUNIOR-SENIOR HIGH SCHOOL",0
"090901040001","NORTHERN ADIRONDACK ELEMENTARY SCHOOL",0
"090901040002","NORTHERN ADIRONDACK MIDDLE/HIGH SCHOOL",5
"091101060004","PERU ELEMENTARY SCHOOL",1
"091101060005","PERU JR/SR HIGH SCHOOL",5
"091200010001","BAILEY AVENUE SCHOOL",0
"091200010003","ARTHUR P MOMOT ELEMENTARY SCHOOL",0
"091200010004","OAK STREET SCHOOL",0
"091200010005","STAFFORD MIDDLE SCHOOL",0
"091200010006","PLATTSBURGH SENIOR HIGH SCHOOL",7
"091402060002","MORRISONVILLE ELEMENTARY SCHOOL",1
"091402060004","SARANAC ELEMENTARY SCHOOL",1
"091402060005","SARANAC HIGH SCHOOL",6
"091402060007","SARANAC MIDDLE SCHOOL",6
"100308020001","BERKSHIRE JUNIOR-SENIOR HIGH SCHOOL",5
"100308020002","COLUMBIA-GREENE PARTNERSHIP ACADEMY-THE BRIDGE",0
"100501040003","TACONIC HILLSJUNIOR/SENIOR HIGH SCHOOL",9
"100501040006","TACONIC HILLS ELEMENTARY SCHOOL",1
"100902040003","GERMANTOWN ELEMENTARY SCHOOL",1
"100902040004","GERMANTOWN JUNIOR-SENIOR HIGH SCHOOL",3
"101001040001","MARY E DARDESS ELEMENTARY SCHOOL",0
"101001040002","CHATHAM HIGH SCHOOL",3
"101001040006","CHATHAM MIDDLE SCHOOL",1
"101300010001","HUDSON JUNIOR/SENIOR HIGH SCHOOL",3
"101300010003","MONTGOMERY C SMITH INTERMEDIATE SCHOOL",6
"101300010004","HUDSON JUNIOR HIGH SCHOOL",5
"101401040004","ICHABOD CRANE PRIMARY SCHOOL",0
"101401040005","ICHABOD CRANE SENIOR HIGH SCHOOL",4
"101401040006","ICHABOD CRANE MIDDLE SCHOOL",2
"101601040002","WALTER B HOWARD ELEMENTARY SCHOOL",1
"101601040003","NEW LEBANON JUNIOR-SENIOR HIGH SCHOOL",11
"110101040001","CINCINNATUS ELEMENTARY SCHOOL",3
"110101040002","CINCINNATUS HIGH SCHOOL",11
"110101040003","CINCINNATUS MIDDLE SCHOOL",3
"110200010003","FRANKLYN S BARRY SCHOOL",6
"110200010004","VIRGIL ELEMENTARY SCHOOL",0
"110200010008","ALTON B PARKER SCHOOL",4
"110200010009","RANDALL SCHOOL",2
"110200010010","F E SMITH SCHOOL",2
"110200010011","CORTLAND JUNIOR-SENIOR HIGH SCHOOL",9
"110200010012","CORTLAND JUNIOR HIGH SCHOOL",14
"110304040001","MCGRAW ELEMENTARY SCHOOL",4
"110304040002","MCGRAW SECONDARY SCHOOL",6
"110701060001","HOMER SENIOR HIGH SCHOOL",12
"110701060002","HOMER ELEMENTARY SCHOOL",0
"110701060003","HOMER INTERMEDIATE SCHOOL",1
"110701060006","HOMER JUNIOR HIGH SCHOOL",10
"110901040001","MARATHON HIGH SCHOOL",5
"110901040002","WILLIAM APPLEBY ELEMENTARY SCHOOL",3
"111111111111","All Public Schools",3
"120102040001","ANDES CENTRAL SCHOOL",5
"120301040001","DOWNSVILLE CENTRAL SCHOOL",5
"120401040001","CHARLOTTE VALLEY SCHOOL",10
"120501040001","DELAWARE ACADEMY ELEMENTARY SCHOOL",1
